,1,Sales Liquidation By SKU,Report  Date: 01-02-2024 09:02,,,,,,,
,1,(Reference No:C_INVC_PO17025700),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-JAN-2024  ,To period: 31-JAN-2024,  Reference No:   C_INVC_PO17025700          ,                            PO No: 17025700        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,2012-METRO GAISANO MARKET (BINONDO)          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2020  - Meat and Poultry          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
21870,TGM - KASIM SOBL - KILO,14-Jan-24,14-Jan-24,KG,1.03,88,359.47,316.33,0,316.33  
21872,TGM - GROUND ROUND - KILO,14-Jan-24,14-Jan-24,KG,0.65,88,296.06,260.53,0,260.53  
21825,TGM - GROUND BEEF - KILO,15-Jan-24,15-Jan-24,KG,0.54,88,199.26,175.35,0,175.35  
21826,TGM - PORKCHOP SOBI - KILO,15-Jan-24,15-Jan-24,KG,0.97,88,346.44,304.87,0,304.87  
21832,TGM - PORK BELLY SOBI - KILO,15-Jan-24,15-Jan-24,KG,0.81,88,355.59,312.92,0,312.92  
21834,TGM - REGULAR GROUND PORK - KILO,15-Jan-24,15-Jan-24,KG,1.79,88,480.17,422.55,0,422.55  
21837,TGM - PORK SINIGANG CUT - KILO,15-Jan-24,15-Jan-24,KG,0.54,88,139.86,123.08,0,123.08  
21838,TGM - PORK MENUDO CUT - KILO,15-Jan-24,15-Jan-24,KG,0.94,88,308.42,271.41,0,271.41  
21841,TGM - LEAN GROUND PORK - KILO,15-Jan-24,15-Jan-24,KG,1.08,88,342.93,301.78,0,301.78  
21843,TGM - PORK STEAK - KILO,15-Jan-24,15-Jan-24,KG,2.61,88,883.1,777.13,0,777.13  
21844,TGM - PORK BABY BACK RIBS - KILO,15-Jan-24,15-Jan-24,KG,3.46,88,"1,512.37","1,330.89",0,"1,330.89  "
21846,TGM - PORK RIB SHOULDER - KILO,15-Jan-24,15-Jan-24,KG,0.84,88,291.42,256.45,0,256.45  
21854,TGM - PORK PORKCHOP SKINLESS - KILO,15-Jan-24,15-Jan-24,KG,1.06,88,399.85,351.87,0,351.87  
21862,TGM - PORKCHOP BONELESS - KILO,15-Jan-24,15-Jan-24,KG,2.05,88,815.96,718.04,0,718.04  
21865,TGM - PORK SAMGYEOPSAL - KILO,15-Jan-24,15-Jan-24,KG,1.47,88,687.09,604.64,0,604.64  
21866,TGM - PORK ADOBO CUT - KILO,15-Jan-24,15-Jan-24,KG,0.84,88,274.72,241.75,0,241.75  
21872,TGM - GROUND ROUND - KILO,15-Jan-24,15-Jan-24,KG,0.33,88,151.47,133.29,0,133.29  
21882,TGM - BEEF RIB EYE STEAK - KILO,15-Jan-24,15-Jan-24,KG,0.37,88,287.99,253.43,0,253.43  
21921,TGM - PORK LECHON KAWALI - KILO,15-Jan-24,15-Jan-24,KG,2.15,86,845.88,727.46,0,727.46  
21834,TGM - REGULAR GROUND PORK - KILO,16-Jan-24,16-Jan-24,KG,1.52,88,421.3,370.74,0,370.74  
