,1,Sales Liquidation By SKU,Report  Date: 03-04-2024 10:04,,,,,,,
,1,(Reference No:C_INVC_PO17304320),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-MAR-2024  ,To period: 31-MAR-2024,  Reference No:   C_INVC_PO17304320          ,                            PO No: 17304320        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,2002-SUPER METRO MANDAUE          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2020  - Meat and Poultry          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
21923,TGM - PORK GINISA CUT - KILO,3-Mar-24,3-Mar-24,KG,0.3,86,83.7,71.98,0,71.98  
22843,TGM - PORK SPARERIBS - KILO,3-Mar-24,5-Mar-24,KG,0.86,88,351.74,309.53,0,309.53  
21825,TGM - GROUND BEEF - KILO,4-Mar-24,4-Mar-24,KG,1.77,88,668.94,588.67,0,588.67  
21832,TGM - PORK BELLY SOBI - KILO,4-Mar-24,4-Mar-24,KG,8.84,88,"3,346.58","2,944.99",0,"2,944.99  "
21837,TGM - PORK SINIGANG CUT - KILO,4-Mar-24,4-Mar-24,KG,3.03,88,770.34,677.9,0,677.90  
21838,TGM - PORK MENUDO CUT - KILO,4-Mar-24,4-Mar-24,KG,0.59,88,193.96,170.68,0,170.68  
21842,TGM - PATA FRONT - KILO,4-Mar-24,4-Mar-24,KG,1.32,88,369.6,325.25,0,325.25  
21923,TGM - PORK GINISA CUT - KILO,4-Mar-24,4-Mar-24,KG,1.01,86,280.4,241.14,0,241.14  
22843,TGM - PORK SPARERIBS - KILO,4-Mar-24,4-Mar-24,KG,1.1,88,447.86,394.12,0,394.12  
21825,TGM - GROUND BEEF - KILO,5-Mar-24,5-Mar-24,KG,1.18,88,445.33,391.89,0,391.89  
21827,TGM - SHANGHAI MIX - KILO,5-Mar-24,5-Mar-24,KG,0.71,88,283.29,222.58,26.71,249.30  
21832,TGM - PORK BELLY SOBI - KILO,5-Mar-24,5-Mar-24,KG,1.31,88,490.82,431.92,0,431.92  
21834,TGM - REGULAR GROUND PORK - KILO,5-Mar-24,5-Mar-24,KG,1.06,88,294.35,259.03,0,259.03  
21837,TGM - PORK SINIGANG CUT - KILO,5-Mar-24,5-Mar-24,KG,1.1,88,283.61,249.58,0,249.58  
21838,TGM - PORK MENUDO CUT - KILO,5-Mar-24,5-Mar-24,KG,0.58,88,202.42,178.13,0,178.13  
21841,TGM - LEAN GROUND PORK - KILO,5-Mar-24,5-Mar-24,KG,2.01,88,679.7,598.14,0,598.14  
21845,TGM - PORK CUBES - KILO,5-Mar-24,5-Mar-24,KG,0.38,88,128.82,113.36,0,113.36  
21851,TGM - PORK LIVER - KILO,5-Mar-24,5-Mar-24,KG,0.75,88,133.36,117.36,0,117.36  
21859,TGM - PORK BACON SLICE - KILO,5-Mar-24,5-Mar-24,KG,0.83,88,329.18,289.68,0,289.68  
21865,TGM - PORK SAMGYEOPSAL - KILO,5-Mar-24,5-Mar-24,KG,1.73,88,686.29,603.94,0,603.94  
21866,TGM - PORK ADOBO CUT - KILO,5-Mar-24,5-Mar-24,KG,2,88,658.35,579.35,0,579.35  
21892,TGM - BEEF BREAKFAST STEAK - KILO,5-Mar-24,5-Mar-24,KG,0.56,88,304.7,268.14,0,268.14  
21923,TGM - PORK GINISA CUT - KILO,5-Mar-24,5-Mar-24,KG,0.57,86,156.25,134.38,0,134.38  
22843,TGM - PORK SPARERIBS - KILO,5-Mar-24,5-Mar-24,KG,0.71,88,290.39,255.54,0,255.54  
